city_id,city_name,state_id
5785243,Aberdeen SD,US-SD
5225857,Aberdeen WA,US-WA
4669635,Abilene,US-TX
5145476,Akron,US-OH
5106834,Albany,US-NY
5454711,Albuquerque,US-NM
5178127,Allentown,US-PA
5323810,Anaheim,US-CA
5879400,Anchorage,US-AK
4453066,Asheville,US-NC
4180439,Atlanta,US-GA
5063342,Aurora,US-IL
4671654,Austin,US-TX
5325738,Bakersfield,US-CA
4347778,Baltimore,US-MD
4929771,Barnstable,US-MA
4315588,Baton Rouge,US-LA
5786899,Bellingham,US-WA
4884453,Belvidere,US-NJ
5713587,Bend,US-OR
5640350,Billings,US-MT
4049979,Birmingham,US-AL
5688025,Bismarck,US-ND
5586437,Boise,US-ID
4930956,Boston,US-MA
5110077,Brentwood NY,US-NY
5282804,Bridgeport,US-CT
4931429,Brockton,US-MA
4849448,Brooklyn,US-NY
4676740,Brownsville,US-TX
5110629,Buffalo,US-NY
4149962,Cape Coral,US-FL
5820705,Casper,US-WY
4850751,Cedar Rapids,US-IA
4421208,Centreville,US-VA
4574324,Charleston,US-SC
4460243,Charlotte,US-NC
5821086,Cheyenne,US-WY
4887398,Chicago,US-IL
5336269,Chico,US-CA
4508722,Cincinnati,US-OH
4613868,Clarksville TN,US-TN
5150529,Cleveland,US-OH
5417598,Colorado Springs,US-CO
4575352,Columbia,US-SC
4509177,Columbus,US-OH
5339111,Concord CA,US-CA
5113694,Coram NY,US-NY
5221637,Coventry RI,US-RI
4889229,Crystal Lake,US-IL
4755158,Dale City VA,US-VA
4684888,Dallas,US-TX
4853423,Davenport,US-IA
4509884,Dayton,US-OH
5419384,Denver,US-CO
4990729,Detroit,US-MI
5445298,Dodge City,US-KS
4191916,Douglas GA,US-GA
5024719,Duluth,US-MN
5520552,Dumas,US-TX
5520993,El Paso,US-TX
4890864,Elgin,US-IL
5188843,Erie,US-PA
5725846,Eugene,US-OR
5824805,Evanston,US-IL
5861897,Fairbanks,US-AK
5347335,Fairfield,US-OH
5059163,Fargo,US-ND
4110486,Fayetteville AR,US-AR
4155966,Fort Lauderdale,US-FL
4691930,Fort Worth,US-TX
4156268,Freeport FL,US-FL
5350734,Fremont CA,US-CA
5350937,Fresno,US-CA
5069297,Grand Island,US-NY
5423573,Grand Junction,US-CO
4994358,Grand Rapids,US-MI
5655240,Great Falls,US-VA
5254962,Green Bay,US-WI
4469146,Greensboro,US-NC
4580543,Greenville,US-MI
4921100,Hammond IN,US-IN
4558475,Hanover PA,US-PA
4835797,Hartford,US-CT
5855927,Hilo,US-HI
5856195,Honolulu,US-HI
4699066,Houston,US-TX
5596475,Idaho Falls,US-ID
4259418,Indianapolis,US-IN
4431410,Jackson,US-MI
4160021,Jacksonville,US-FL
4898015,Joliet,US-IL
5554072,Juneau,US-AK
4393217,Kansas City,US-MO
5088262,Keene NH,US-NH
5799610,Kennewick,US-WA
4703223,Killeen,US-TX
4634946,Knoxville,US-TN
4998830,Lansing,US-KS
4705349,Laredo,US-TX
5506956,Las Vegas,US-NV
4969398,Lewiston,US-ID
4119403,Little Rock,US-AR
5368361,Los Angeles,US-CA
4299276,Louisville,US-KY
5525577,Lubbock,US-TX
4207400,Macon,US-MO
5261457,Madison,US-WI
4274994,Manhattan,US-KS
4838204,Mansfield City,US-TX
5000947,Marquette,US-MI
4709796,McAllen,US-TX
4641239,Memphis,US-TN
5304391,Mesa,US-AZ
4164138,Miami,US-FL
4143658,Milford DE,US-DE
